id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,29102.091353853,566396372213.0,1.0,611238549493.0,11094574380.0,29222.0,28948.0,-81.1506813754786,-0.27807,-1114185861.5134277,-0.19633,19459381.0,21000000.0,21000000.0,69045.0,-57.83205,2021-11-10T14:24:11.849Z,67.81,42836.42849,2013-07-06T00:00:00.000Z,,2023-08-16T20:16:53.010Z,21.47779418299818,-0.27807287921443685,-2.594425676427904
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1820.658980576,218760865162.0,2.0,218760865162.0,4827999167.0,1829.89,1815.66,-6.723242237641443,-0.36792,-662344845.8563538,-0.30186,120139112.969494,120139112.969494,,4878.26,-62.68586,2021-11-10T14:24:19.604Z,0.432979,420308.75795,2015-10-20T00:00:00.000Z,"{'times': 82.64156341383108, 'currency': 'btc', 'percentage': 8264.156341383108}",2023-08-16T20:16:51.732Z,-3.184897376079839,-0.36791658328003557,-3.583068622770485
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.998972589,83109456131.0,3.0,83109456131.0,19664558283.0,1.0,0.9972,-0.000601019498364552,-0.06013,-231825819.26661682,-0.27816,83183030691.112,83183030691.112,,1.32,-24.47823,2018-07-24T00:00:00.000Z,0.572521,74.53072,2015-03-02T00:00:00.000Z,,2023-08-16T20:15:00.563Z,-0.16514142328283504,-0.060127587705267695,-0.19034369355775607
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,234.17924568,36033494735.0,4.0,46840499694.0,460161769.0,238.25,232.73,-2.0171280046874642,-0.854,-300076494.2720337,-0.82589,153856150.0,153856150.0,200000000.0,686.31,-65.89446,2021-05-10T07:24:17.097Z,0.0398177,587750.52978,2017-10-19T00:00:00.000Z,,2023-08-16T20:16:53.333Z,-25.842790834370827,-0.854004645887938,-3.51713099657836
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.596516207,31519342442.0,5.0,59648425355.0,1309024438.0,0.61355,0.591854,-0.007582331971545675,-1.25515,-334026254.63703537,-1.04864,52841868422.0,99988501123.0,100000000000.0,3.4,-82.44582,2018-01-07T00:00:00.000Z,0.00268621,22108.64487,2014-05-22T00:00:00.000Z,,2023-08-16T20:16:56.538Z,58.843974349327524,-1.2551482059113188,-18.690174170914588
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.000231073,26024893959.0,6.0,26028661853.0,3302252473.0,1.001,0.998243,0.00015011,0.01501,46469344.0,0.17888,26015351898.9747,26019118411.1347,,1.17,-14.71123,2019-05-08T00:40:28.300Z,0.877647,13.96234,2023-03-11T08:02:13.981Z,,2023-08-16T20:16:49.444Z,-0.009344968148638451,0.015009896181604702,-0.03677435357461536
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1819.516089602,14821816973.0,7.0,14821816973.0,16789196.0,1828.76,1814.12,-6.411858773956055,-0.35116,-13120130.661216736,-0.08844,8146375.45267249,8146375.45267249,8146375.45267249,4829.57,-62.36145,2021-11-10T14:40:47.256Z,482.9,276.4329,2020-12-22T04:08:21.854Z,,2023-08-16T20:16:33.646Z,-0.42737544370702996,-0.35115617676248045,-3.5800613081836747
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.069074068,9709632507.0,8.0,9709617316.0,440861324.0,0.071217,0.068851,-0.002137263907949605,-3.0013,-309728276.0817814,-3.0913,140617566383.705,140617346383.705,,0.731578,-90.56329,2021-05-08T05:08:23.458Z,8.69e-05,79340.67152,2015-05-06T00:00:00.000Z,,2023-08-16T20:16:51.937Z,-19.144212780962754,-3.0012974818989613,0.13205954252782143
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.275179132,9650162534.0,9.0,12391412639.0,194360265.0,0.283585,0.271891,-0.006560586230913545,-2.3286,-214363756.01415825,-2.17308,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.08984,2021-09-02T06:00:10.474Z,0.01925275,1328.62036,2020-03-13T02:22:55.044Z,,2023-08-16T20:16:56.389Z,-51.10910961438916,-2.3285982759813124,-11.284885462362766
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,23.34917978,9520374631.0,10.0,12976235312.0,427139032.0,24.11,22.96,-0.6779651043924275,-2.82166,-234011602.31285095,-2.39904,407272611.254772,555111058.608947,,259.96,-91.01493,2021-11-06T21:54:35.825Z,0.500801,4564.0281,2020-05-11T19:35:23.449Z,,2023-08-16T20:16:56.962Z,-45.94013087684561,-2.82166319659925,-10.817620742232508
